Course,Year,Month,Student,Setup,Material,Teacher,Overall
Calculus 1,2021,8,1,6,9,6,7.0
Calculus 1,2021,8,2,7,6,9,7.33
Calculus 1,2021,8,3,5,5,8,6.0
Calculus 1,2021,8,4,8,8,4,6.67
Calculus 1,2021,8,5,7,10,10,9.0
Calculus 1,2021,8,6,9,10,7,8.67
Calculus 1,2021,8,7,4,4,10,6.0
Calculus 1,2021,8,8,6,4,9,6.33
Calculus 1,2021,8,9,8,8,10,8.67
Calculus 1,2021,8,10,8,4,7,6.33
Calculus 1,2021,7,11,7,10,7,8.0
Calculus 1,2021,7,12,8,7,10,8.33
Calculus 1,2021,7,13,6,6,9,7.0
Calculus 1,2021,7,14,9,9,4,7.33
Calculus 1,2021,7,15,8,7,9,8.0
Calculus 1,2021,7,16,10,8,8,8.67
Calculus 1,2021,7,17,5,5,10,6.67
Calculus 1,2021,7,18,7,5,10,7.33
Calculus 1,2021,7,19,9,9,4,7.33
Calculus 1,2021,7,20,9,5,8,7.33
Calculus 1,2021,7,21,8,7,8,7.67
Calculus 1,2021,7,22,9,8,6,7.67
Calculus 1,2021,7,23,7,9,10,8.67
Calculus 1,2021,7,24,9,9,10,9.33
